CreditUnion,Link,Rates(30Years),BestRate
FloridaA&MUniversityFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=DE826C6A-D89F-4863-A430-1D6D59245BB4,30YearFixed-5.125%|Jumbo30YearFixed-6.250%,30YearFixed-5.125%
FortBraggFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=3DC48A2C-EFAC-4682-A32A-0728D269CFCD,5/5YearARM-5.000%|30YearFixed-5.875%,5/5YearARM-5.000%
FreedomofMarylandFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=EBACE7AF-6F14-42A6-9FC1-D1380F6E9A80,30YearFixed-5.875%,30YearFixed-5.875%
FrontRoyalFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=C0391878-2D80-4F1E-B5F5-0A1B4AB5A663,30YearFixed-5.500%|15/15ARM1-4.875%|Jumbo30YearFixed-6.500%,15/15ARM1-4.875%
GeneseeCoopFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=C2CF0F4D-7CFA-461D-9E0A-EBE80CC1C1BF,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
GoldCoastFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=53189796-EE2D-444C-B4CD-F4D7D260102F,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
GovernmentPrintingOfficeFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=2036C20B-8970-488B-9338-0B74ACC4122F,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
GreaterNiagaraFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=70832813-9C0B-462F-8671-5CC63EF5A51C,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
GSAFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=7BAD6EAD-27D6-435F-9A65-2499780C5307,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
GuardiansCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=2074FB0B-A552-425C-B60D-FD52A36A6C82,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
GuthrieCommunityCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=95D089B8-52B8-41AB-BC22-950DFC44112F,30YearFixed-5.500%|15/15ARM1-5.125%|Jumbo30YearFixed-6.500%,15/15ARM1-5.125%
HamptonRoadsEducatorsCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=24223EF5-90EE-4A4A-BFB4-64DC4518FDE5,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
HealthCareAssociatesCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=F7B22BB1-FCBD-4A3D-A2C2-2BB655E300AC,30YearFixed-5.500%|10/1YearARM-6.000%,30YearFixed-5.500%
HealthcareEmployeesFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=3140EFB7-2704-4E63-BEAD-A9814BEA19FA,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
HealthcareSystemsFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=38D63B97-52A9-4E49-8BA2-F996D6593E5C,30YearFixed-5.875%|15/15ARM1-4.875%|5/5YearARM-5.875%|Jumbo30YearFixed-6.500%,15/15ARM1-4.875%
HenricoFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=E9EAF897-7A7E-4BD2-AFA4-B1A156A354FB,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
HighDesertCommunityCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=F28967C7-C10C-48D8-9FA5-06EE08A74275,30YearFixed-5.500%|15/15ARM1-5.125%|5/5YearARM-5.250%,15/15ARM1-5.125%
HowardCountyEducationFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=A7039C62-3DF5-4526-8399-5AC472FBCC88,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
HUDFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=5DC4A4D9-D04E-4346-AA7A-E1C9E552EFCD,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
InFirstFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=E656227A-7812-43D9-B2D6-E0E6CADCD9C5,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
IngersollRandFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=1811D9BF-694C-4ABA-8699-ADF35E81C7AB,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
InteriorFederal,https://mortgages.cumortgage.net/default.asp?siteId=54990627-321E-441F-991E-998E4B5E0F20,5/5YearARM-5.500%|30YearFixed-5.875%|Jumbo30YearFixed-6.500%,5/5YearARM-5.500%
JacksonRiverCommunityCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=4C1C9653-2775-4B8A-92A8-856945F0CC1B,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
JemezValleyCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=29CE38C6-B3EA-4BB4-8DC3-EAA8ECE5F932,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
KembaRoanokeFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=F488BC1F-EBC0-4F58-A85F-9225873F164C,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
